company_name,perm_id,data_type,disclosure,metric_description,metric_name,metric_unit,metric_value,metric_year,nb_points_of_observations,metric_period,provider_name,reported_date,pillar,headquarter_country
Aceso Life Science Group Ltd,4295864449,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,13.425925925925931,31/12/2020,57,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
Artgo Holdings Ltd,5040043647,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,13.425925925925931,31/12/2020,58,P1Y,Clarity AI,,E,Cayman Islands
Bay Area Gold Group Ltd,5059998815,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,18.981481481481477,31/12/2020,57,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
Central Wealth Group Holdings Ltd,4295870891,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,13.425925925925931,31/12/2020,56,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
China Creative Digital Entertainment Ltd,4295870963,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,13.425925925925931,31/12/2020,57,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
China E-Information Technology Group Ltd,4295871439,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,13.425925925925931,31/12/2020,54,P1Y,Clarity AI,,E,Cayman Islands
China LNG Group Ltd,4295871445,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,13.888888888888884,31/12/2020,57,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
China Ocean Industry Group Ltd,4295871842,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,19.90740740740741,31/12/2020,48,P1Y,Clarity AI,,E,"Hong Kong SAR, China"
China Resources Microelectronics Ltd,4295871923,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,17.616580310880824,31/12/2021,43,P1Y,Clarity AI,31/12/2021 0:00,E,Cayman Islands
China Wood Optimization Holding Ltd,5040929630,float,REPORTED,Total amount of SOx emissions emitted in tons.,SOXEMISSIONS,Tons of SOx,13.888888888888884,31/12/2020,57,P1Y,Clarity AI,,E,China
